title,price,link,store,category,query,brand_or_model,model,suffix
"ابل ايفون 13 (128 جيجابايت) - ميدنايت مع خاصية التعرف على الوجه، (ضمان ضمان لمدة عامين)",29990,https://www.amazon.eg/%D8%A7%D8%A8%D9%84-%D8%A7%D9%8A%D9%81%D9%88%D9%86-13-128-%D8%AC%D9%8A%D8%AC%D8%A7%D8%A8%D8%A7%D9%8A%D8%AA/dp/B09G9DHS68/ref=sr_1_2,Amazon,mobiles,iphone,ايفون,13,
موبايل ايفون 16 برو ماكس سعة (256 جيجابايت) من ابل- لون أسود تيتانيوم,74950,https://www.amazon.eg/%D9%85%D9%88%D8%A8%D8%A7%D9%8A%D9%84-%D8%A7%D9%8A%D9%81%D9%88%D9%86-%D9%85%D8%A7%D9%83%D8%B3-%D8%AC%D9%8A%D8%AC%D8%A7%D8%A8%D8%A7%D9%8A%D8%AA-%D8%AA%D9%8A%D8%AA%D8%A7%D9%86%D9%8A%D9%88%D9%85/dp/B0DGJ2FB85/ref=sr_1_3,Amazon,mobiles,iphone,ايفون,16,برو
"ابل موبايل ايفون 16 (128 جيجابايت) - الترا مارين مع خاصية التعرف على الوجه، (ضمان ضمان لمدة عامين)",57777,https://www.amazon.eg/%D8%A7%D8%A8%D9%84-%D9%85%D9%88%D8%A8%D8%A7%D9%8A%D9%84-%D8%A7%D9%8A%D9%81%D9%88%D9%86-128-%D8%AC%D9%8A%D8%AC%D8%A7%D8%A8%D8%A7%D9%8A%D8%AA/dp/B0DGJ7TGDR/ref=sr_1_4,Amazon,mobiles,iphone,ايفون,16,
"آبل آيفون 16 برو (256 جيجابايت) - تيتانيوم طبيعي مع معرف الوجه، (ضمان رسمي لمدة سنتين)",86500,https://www.amazon.eg/%D8%A2%D8%A8%D9%84-%D8%A2%D9%8A%D9%81%D9%88%D9%86-%D8%A8%D8%B1%D9%88-256-%D8%AC%D9%8A%D8%AC%D8%A7%D8%A8%D8%A7%D9%8A%D8%AA/dp/B0DGJ1ZP3Q/ref=sr_1_5,Amazon,mobiles,iphone,ايفون,16,برو
موبايل آيفون 16 برو 256 جيجابايت من آبل تيتانيوم رملي ديزرت,71550,https://www.amazon.eg/%D9%85%D9%88%D8%A8%D8%A7%D9%8A%D9%84-%D8%A2%D9%8A%D9%81%D9%88%D9%86-%D8%AC%D9%8A%D8%AC%D8%A7%D8%A8%D8%A7%D9%8A%D8%AA-%D8%AA%D9%8A%D8%AA%D8%A7%D9%86%D9%8A%D9%88%D9%85-%D8%AF%D9%8A%D8%B2%D8%B1%D8%AA/dp/B0DGJ8C7T3/ref=sr_1_6,Amazon,mobiles,iphone,ايفون,16,برو
ابل آيفون 15 (128 جيجابايت) - بينك,49165,https://www.amazon.eg/%D8%A7%D8%A8%D9%84-%D8%A2%D9%8A%D9%81%D9%88%D9%86-15-128-%D8%AC%D9%8A%D8%AC%D8%A7%D8%A8%D8%A7%D9%8A%D8%AA/dp/B0CHXHSD5X/ref=sr_1_7,Amazon,mobiles,iphone,ايفون,15,
"موبايل ابل ايفون 13 مع فيس تايم (128 جيجابايت) - أزرق، بشريحتين",32844.15,https://www.amazon.eg/%D9%85%D9%88%D8%A8%D8%A7%D9%8A%D9%84-%D8%A7%D8%A8%D9%84-%D8%A7%D9%8A%D9%81%D9%88%D9%86-%D8%AA%D8%A7%D9%8A%D9%85-%D8%AC%D9%8A%D8%AC%D8%A7%D8%A8%D8%A7%D9%8A%D8%AA/dp/B09G9DZFQ7/ref=sr_1_8,Amazon,mobiles,iphone,ايفون,13,
"ابل موبايل ايفون 16 بلس (128 جيجابايت) - اخضر مع خاصية التعرف على الوجه، (ضمان ضمان لمدة عامين)",66999,https://www.amazon.eg/%D8%A7%D8%A8%D9%84-%D9%85%D9%88%D8%A8%D8%A7%D9%8A%D9%84-%D8%A7%D9%8A%D9%81%D9%88%D9%86-%D8%A8%D9%84%D8%B3-%D8%AC%D9%8A%D8%AC%D8%A7%D8%A8%D8%A7%D9%8A%D8%AA/dp/B0DGJCSH8R/ref=sr_1_9,Amazon,mobiles,iphone,ايفون,16,
موبايل آيفون 16 برو (128GB) بلون تيتانيوم ديزيرت مع خاصية التعرف على الوجه من آبل,77999,https://www.amazon.eg/%D9%85%D9%88%D8%A8%D8%A7%D9%8A%D9%84-%D8%A2%D9%8A%D9%81%D9%88%D9%86-%D8%AA%D9%8A%D8%AA%D8%A7%D9%86%D9%8A%D9%88%D9%85-%D8%AF%D9%8A%D8%B2%D9%8A%D8%B1%D8%AA-%D8%A7%D9%84%D8%AA%D8%B9%D8%B1%D9%81/dp/B0DGHZQXTJ/ref=sr_1_10,Amazon,mobiles,iphone,ايفون,16,برو
موبايل آبل آيفون 16 بشريحتين (128 جيجابايت) - أسود,52333,https://www.amazon.eg/%D9%85%D9%88%D8%A8%D8%A7%D9%8A%D9%84-%D8%A2%D8%A8%D9%84-%D8%A2%D9%8A%D9%81%D9%88%D9%86-%D8%A8%D8%B4%D8%B1%D9%8A%D8%AD%D8%AA%D9%8A%D9%86-%D8%AC%D9%8A%D8%AC%D8%A7%D8%A8%D8%A7%D9%8A%D8%AA/dp/B0DGJCJT48/ref=sr_1_11,Amazon,mobiles,iphone,ايفون,16,
"موبايل آبل آيفون 16 بلس (128 GB)، أزرق",57750,https://www.amazon.eg/%D9%85%D9%88%D8%A8%D8%A7%D9%8A%D9%84-%D8%A2%D8%A8%D9%84-%D8%A2%D9%8A%D9%81%D9%88%D9%86-%D8%A8%D9%84%D8%B3-%D8%A3%D8%B2%D8%B1%D9%82/dp/B0DGJ26Y33/ref=sr_1_12,Amazon,mobiles,iphone,ايفون,16,
آبل آيفون 16 (128 جيجابايت) - أبيض بشريحتين,52950,https://www.amazon.eg/%D8%A2%D8%A8%D9%84-%D8%A2%D9%8A%D9%81%D9%88%D9%86-16-128-%D8%AC%D9%8A%D8%AC%D8%A7%D8%A8%D8%A7%D9%8A%D8%AA/dp/B0DGHW3KKX/ref=sr_1_15,Amazon,mobiles,iphone,ايفون,16,
موبايل آبل آيفون 16 برو (128 جيجابايت) - تيتانيوم طبيعي مع خاصية التعرف على الوجه,71999,https://www.amazon.eg/%D9%85%D9%88%D8%A8%D8%A7%D9%8A%D9%84-%D8%A2%D8%A8%D9%84-%D8%A2%D9%8A%D9%81%D9%88%D9%86-%D8%A8%D8%B1%D9%88-%D8%AC%D9%8A%D8%AC%D8%A7%D8%A8%D8%A7%D9%8A%D8%AA/dp/B0DGHPQJLP/ref=sr_1_17,Amazon,mobiles,iphone,ايفون,16,برو
موبايل آبل آيفون 16 (128 جيجابايت) - لون أزرق مخضر,51550,https://www.amazon.eg/%D9%85%D9%88%D8%A8%D8%A7%D9%8A%D9%84-%D8%A2%D8%A8%D9%84-%D8%A2%D9%8A%D9%81%D9%88%D9%86-128-%D8%AC%D9%8A%D8%AC%D8%A7%D8%A8%D8%A7%D9%8A%D8%AA/dp/B0DGJHBXPG/ref=sr_1_18,Amazon,mobiles,iphone,ايفون,16,
"موبايل آبل آيفون 16 برو (ذاكرة 256 جيجابايت)، لون أبيض تيتانيوم",71500,https://www.amazon.eg/%D9%85%D9%88%D8%A8%D8%A7%D9%8A%D9%84-%D8%A2%D9%8A%D9%81%D9%88%D9%86-%D8%B0%D8%A7%D9%83%D8%B1%D8%A9-%D8%AC%D9%8A%D8%AC%D8%A7%D8%A8%D8%A7%D9%8A%D8%AA-%D8%AA%D9%8A%D8%AA%D8%A7%D9%86%D9%8A%D9%88%D9%85/dp/B0DGJFHR2J/ref=sr_1_19,Amazon,mobiles,iphone,ايفون,16,برو
موبايل آيفون 16 برو (128 جيجابايت) - تيتانيوم أبيض مع خاصية التعرف على الوجه من آبل,77999,https://www.amazon.eg/%D9%85%D9%88%D8%A8%D8%A7%D9%8A%D9%84-%D8%A2%D9%8A%D9%81%D9%88%D9%86-%D8%A8%D8%B1%D9%88-128-%D8%AC%D9%8A%D8%AC%D8%A7%D8%A8%D8%A7%D9%8A%D8%AA/dp/B0DGHS5NND/ref=sr_1_20,Amazon,mobiles,iphone,ايفون,16,برو
ابل موبايل ايفون 16 برو ماكس (256 جيجابايت) - ديزرت تيتانيوم,73732.45,https://www.amazon.eg/%D8%A7%D8%A8%D9%84-%D9%85%D9%88%D8%A8%D8%A7%D9%8A%D9%84-%D8%A7%D9%8A%D9%81%D9%88%D9%86-%D9%85%D8%A7%D9%83%D8%B3-%D8%AC%D9%8A%D8%AC%D8%A7%D8%A8%D8%A7%D9%8A%D8%AA/dp/B0DGJKQ3KW/ref=sr_1_24,Amazon,mobiles,iphone,ايفون,16,برو
"ابل موبايل ايفون 15 برو ماكس (256 جيجابايت) - تيتانيوم ازرق مع خاصية التعرف على الوجه، (ضمان لمدة عامين)",70950,https://www.amazon.eg/%D8%A7%D8%A8%D9%84-%D9%85%D9%88%D8%A8%D8%A7%D9%8A%D9%84-%D8%A7%D9%8A%D9%81%D9%88%D9%86-%D9%85%D8%A7%D9%83%D8%B3-%D8%AC%D9%8A%D8%AC%D8%A7%D8%A8%D8%A7%D9%8A%D8%AA/dp/B0CHXK8YL4/ref=sr_1_26,Amazon,mobiles,iphone,ايفون,15,برو
"موبايل ذكي اورا TA-1631 DS 4 جيجابايت/128 جيجابايت NENA2 شريحتين اتصال، مقاس 6.56 بوصة، أخضر من اتش ام دي، نينا 2",4910.4,https://www.amazon.eg/TA-1631-%D8%AC%D9%8A%D8%AC%D8%A7%D8%A8%D8%A7%D9%8A%D8%AA-%D8%B4%D8%B1%D9%8A%D8%AD%D8%AA%D9%8A%D9%86-%D8%A7%D8%AA%D8%B4-%D8%A7%D9%85/dp/B0D7ZSL3GG/ref=sr_1_28,Amazon,mobiles,iphone,Unknown,1631,
موبايل ريلمي C53 ثنائي شرائح الاتصال بذاكرة ROM 128 جيجابايت رام 6 GB شبكة الجيل الرابع 4G ذهبي شامبيون نسخة الشرق الأوسط,7075,https://www.amazon.eg/%D9%85%D9%88%D8%A8%D8%A7%D9%8A%D9%84-%D8%B1%D9%8A%D9%84%D9%85%D9%8A-%D8%A7%D9%84%D8%A7%D8%AA%D8%B5%D8%A7%D9%84-%D8%AC%D9%8A%D8%AC%D8%A7%D8%A8%D8%A7%D9%8A%D8%AA-%D8%B4%D8%A7%D9%85%D8%A8%D9%8A%D9%88%D9%86/dp/B0C5XJ2HRM/ref=sr_1_32,Amazon,mobiles,iphone,ريلمي,C53,
موبايل سامسونج جالاكسي S23 الترا بذاكرة رام 12 جيجا ذكي يعمل بنظام اندرويد بشريحتين اتصال لون أسود فانتوم,47950,https://www.amazon.eg/%D9%85%D9%88%D8%A8%D8%A7%D9%8A%D9%84-%D8%B3%D8%A7%D9%85%D8%B3%D9%88%D9%86%D8%AC-%D8%AC%D8%A7%D9%84%D8%A7%D9%83%D8%B3%D9%8A-%D8%A7%D9%86%D8%AF%D8%B1%D9%88%D9%8A%D8%AF-%D8%A8%D8%B4%D8%B1%D9%8A%D8%AD%D8%AA%D9%8A%D9%86/dp/B0BSLBMCB2/ref=sr_1_33,Amazon,mobiles,iphone,سامسونج,S23,
"ابل ايفون 13 (128 جيجابايت) - ميدنايت مع خاصية التعرف على الوجه، (ضمان ضمان لمدة عامين)",29990,https://www.amazon.eg/%D8%A7%D8%A8%D9%84-%D8%A7%D9%8A%D9%81%D9%88%D9%86-13-128-%D8%AC%D9%8A%D8%AC%D8%A7%D8%A8%D8%A7%D9%8A%D8%AA/dp/B09G9DHS68/ref=sr_1_4,Amazon,mobiles,apple,ايفون,13,
"آبل آيفون 16 برو (256 جيجابايت) - تيتانيوم طبيعي مع معرف الوجه، (ضمان رسمي لمدة سنتين)",86500,https://www.amazon.eg/%D8%A2%D8%A8%D9%84-%D8%A2%D9%8A%D9%81%D9%88%D9%86-%D8%A8%D8%B1%D9%88-256-%D8%AC%D9%8A%D8%AC%D8%A7%D8%A8%D8%A7%D9%8A%D8%AA/dp/B0DGJ1ZP3Q/ref=sr_1_5,Amazon,mobiles,apple,ايفون,16,برو
موبايل ايفون 16 برو ماكس سعة (256 جيجابايت) من ابل- لون أسود تيتانيوم,74950,https://www.amazon.eg/%D9%85%D9%88%D8%A8%D8%A7%D9%8A%D9%84-%D8%A7%D9%8A%D9%81%D9%88%D9%86-%D9%85%D8%A7%D9%83%D8%B3-%D8%AC%D9%8A%D8%AC%D8%A7%D8%A8%D8%A7%D9%8A%D8%AA-%D8%AA%D9%8A%D8%AA%D8%A7%D9%86%D9%8A%D9%88%D9%85/dp/B0DGJ2FB85/ref=sr_1_6,Amazon,mobiles,apple,ايفون,16,برو
"ابل موبايل ايفون 16 (128 جيجابايت) - الترا مارين مع خاصية التعرف على الوجه، (ضمان ضمان لمدة عامين)",57777,https://www.amazon.eg/%D8%A7%D8%A8%D9%84-%D9%85%D9%88%D8%A8%D8%A7%D9%8A%D9%84-%D8%A7%D9%8A%D9%81%D9%88%D9%86-128-%D8%AC%D9%8A%D8%AC%D8%A7%D8%A8%D8%A7%D9%8A%D8%AA/dp/B0DGJ7TGDR/ref=sr_1_8,Amazon,mobiles,apple,ايفون,16,
موبايل آيفون 16 برو (128GB) بلون تيتانيوم ديزيرت مع خاصية التعرف على الوجه من آبل,77999,https://www.amazon.eg/%D9%85%D9%88%D8%A8%D8%A7%D9%8A%D9%84-%D8%A2%D9%8A%D9%81%D9%88%D9%86-%D8%AA%D9%8A%D8%AA%D8%A7%D9%86%D9%8A%D9%88%D9%85-%D8%AF%D9%8A%D8%B2%D9%8A%D8%B1%D8%AA-%D8%A7%D9%84%D8%AA%D8%B9%D8%B1%D9%81/dp/B0DGHZQXTJ/ref=sr_1_10,Amazon,mobiles,apple,ايفون,16,برو
ابل آيفون 15 (128 جيجابايت) - بينك,49165,https://www.amazon.eg/%D8%A7%D8%A8%D9%84-%D8%A2%D9%8A%D9%81%D9%88%D9%86-15-128-%D8%AC%D9%8A%D8%AC%D8%A7%D8%A8%D8%A7%D9%8A%D8%AA/dp/B0CHXHSD5X/ref=sr_1_11,Amazon,mobiles,apple,ايفون,15,
"موبايل ابل ايفون 13 مع فيس تايم (128 جيجابايت) - أزرق، بشريحتين",32844.15,https://www.amazon.eg/%D9%85%D9%88%D8%A8%D8%A7%D9%8A%D9%84-%D8%A7%D8%A8%D9%84-%D8%A7%D9%8A%D9%81%D9%88%D9%86-%D8%AA%D8%A7%D9%8A%D9%85-%D8%AC%D9%8A%D8%AC%D8%A7%D8%A8%D8%A7%D9%8A%D8%AA/dp/B09G9DZFQ7/ref=sr_1_12,Amazon,mobiles,apple,ايفون,13,
"ابل موبايل ايفون 16 بلس (128 جيجابايت) - اخضر مع خاصية التعرف على الوجه، (ضمان ضمان لمدة عامين)",66999,https://www.amazon.eg/%D8%A7%D8%A8%D9%84-%D9%85%D9%88%D8%A8%D8%A7%D9%8A%D9%84-%D8%A7%D9%8A%D9%81%D9%88%D9%86-%D8%A8%D9%84%D8%B3-%D8%AC%D9%8A%D8%AC%D8%A7%D8%A8%D8%A7%D9%8A%D8%AA/dp/B0DGJCSH8R/ref=sr_1_13,Amazon,mobiles,apple,ايفون,16,
ابل موبايل ايفون 16 برو ماكس (256 جيجابايت) - ديزرت تيتانيوم,73732.45,https://www.amazon.eg/%D8%A7%D8%A8%D9%84-%D9%85%D9%88%D8%A8%D8%A7%D9%8A%D9%84-%D8%A7%D9%8A%D9%81%D9%88%D9%86-%D9%85%D8%A7%D9%83%D8%B3-%D8%AC%D9%8A%D8%AC%D8%A7%D8%A8%D8%A7%D9%8A%D8%AA/dp/B0DGJKQ3KW/ref=sr_1_14,Amazon,mobiles,apple,ايفون,16,برو
موبايل آيفون 16 برو 256 جيجابايت من آبل تيتانيوم رملي ديزرت,71550,https://www.amazon.eg/%D9%85%D9%88%D8%A8%D8%A7%D9%8A%D9%84-%D8%A2%D9%8A%D9%81%D9%88%D9%86-%D8%AC%D9%8A%D8%AC%D8%A7%D8%A8%D8%A7%D9%8A%D8%AA-%D8%AA%D9%8A%D8%AA%D8%A7%D9%86%D9%8A%D9%88%D9%85-%D8%AF%D9%8A%D8%B2%D8%B1%D8%AA/dp/B0DGJ8C7T3/ref=sr_1_15,Amazon,mobiles,apple,ايفون,16,برو
موبايل آيفون 16 برو (128 جيجابايت) - تيتانيوم أبيض مع خاصية التعرف على الوجه من آبل,77999,https://www.amazon.eg/%D9%85%D9%88%D8%A8%D8%A7%D9%8A%D9%84-%D8%A2%D9%8A%D9%81%D9%88%D9%86-%D8%A8%D8%B1%D9%88-128-%D8%AC%D9%8A%D8%AC%D8%A7%D8%A8%D8%A7%D9%8A%D8%AA/dp/B0DGHS5NND/ref=sr_1_16,Amazon,mobiles,apple,ايفون,16,برو
"موبايل آبل آيفون 16 برو (ذاكرة 256 جيجابايت)، لون أبيض تيتانيوم",71500,https://www.amazon.eg/%D9%85%D9%88%D8%A8%D8%A7%D9%8A%D9%84-%D8%A2%D9%8A%D9%81%D9%88%D9%86-%D8%B0%D8%A7%D9%83%D8%B1%D8%A9-%D8%AC%D9%8A%D8%AC%D8%A7%D8%A8%D8%A7%D9%8A%D8%AA-%D8%AA%D9%8A%D8%AA%D8%A7%D9%86%D9%8A%D9%88%D9%85/dp/B0DGJFHR2J/ref=sr_1_17,Amazon,mobiles,apple,ايفون,16,برو
موبايل آبل آيفون 16 برو (128 جيجابايت) - تيتانيوم طبيعي مع خاصية التعرف على الوجه,71999,https://www.amazon.eg/%D9%85%D9%88%D8%A8%D8%A7%D9%8A%D9%84-%D8%A2%D8%A8%D9%84-%D8%A2%D9%8A%D9%81%D9%88%D9%86-%D8%A8%D8%B1%D9%88-%D8%AC%D9%8A%D8%AC%D8%A7%D8%A8%D8%A7%D9%8A%D8%AA/dp/B0DGHPQJLP/ref=sr_1_18,Amazon,mobiles,apple,ايفون,16,برو
موبايل آبل آيفون 16 (128 جيجابايت) - لون أزرق مخضر,51550,https://www.amazon.eg/%D9%85%D9%88%D8%A8%D8%A7%D9%8A%D9%84-%D8%A2%D8%A8%D9%84-%D8%A2%D9%8A%D9%81%D9%88%D9%86-128-%D8%AC%D9%8A%D8%AC%D8%A7%D8%A8%D8%A7%D9%8A%D8%AA/dp/B0DGJHBXPG/ref=sr_1_21,Amazon,mobiles,apple,ايفون,16,
آبل آيفون 16 (128 جيجابايت) - أبيض بشريحتين,52950,https://www.amazon.eg/%D8%A2%D8%A8%D9%84-%D8%A2%D9%8A%D9%81%D9%88%D9%86-16-128-%D8%AC%D9%8A%D8%AC%D8%A7%D8%A8%D8%A7%D9%8A%D8%AA/dp/B0DGHW3KKX/ref=sr_1_22,Amazon,mobiles,apple,ايفون,16,
"موبايل آبل آيفون 16 بلس (128 GB)، أزرق",57750,https://www.amazon.eg/%D9%85%D9%88%D8%A8%D8%A7%D9%8A%D9%84-%D8%A2%D8%A8%D9%84-%D8%A2%D9%8A%D9%81%D9%88%D9%86-%D8%A8%D9%84%D8%B3-%D8%A3%D8%B2%D8%B1%D9%82/dp/B0DGJ26Y33/ref=sr_1_25,Amazon,mobiles,apple,ايفون,16,
موبايل آبل آيفون 16 بشريحتين (128 جيجابايت) - أسود,52333,https://www.amazon.eg/%D9%85%D9%88%D8%A8%D8%A7%D9%8A%D9%84-%D8%A2%D8%A8%D9%84-%D8%A2%D9%8A%D9%81%D9%88%D9%86-%D8%A8%D8%B4%D8%B1%D9%8A%D8%AD%D8%AA%D9%8A%D9%86-%D8%AC%D9%8A%D8%AC%D8%A7%D8%A8%D8%A7%D9%8A%D8%AA/dp/B0DGJCJT48/ref=sr_1_26,Amazon,mobiles,apple,ايفون,16,
"ابل موبايل ايفون 15 برو ماكس (256 جيجابايت) - تيتانيوم ازرق مع خاصية التعرف على الوجه، (ضمان لمدة عامين)",70950,https://www.amazon.eg/%D8%A7%D8%A8%D9%84-%D9%85%D9%88%D8%A8%D8%A7%D9%8A%D9%84-%D8%A7%D9%8A%D9%81%D9%88%D9%86-%D9%85%D8%A7%D9%83%D8%B3-%D8%AC%D9%8A%D8%AC%D8%A7%D8%A8%D8%A7%D9%8A%D8%AA/dp/B0CHXK8YL4/ref=sr_1_28,Amazon,mobiles,apple,ايفون,15,برو
"جوال سامسونج جالكسي ايه 16 ال تي اي، ثنائي شرائح الاتصال، ذاكرة رام 6 جيجا، تخزين 128 جيجا، اسود (ضمان محلي لمدة عام)",7839.99,https://www.amazon.eg/%D8%B3%D8%A7%D9%85%D8%B3%D9%88%D9%86%D8%AC-%D8%AC%D8%A7%D9%84%D9%83%D8%B3%D9%8A-%D8%AB%D9%86%D8%A7%D8%A6%D9%8A-%D8%B4%D8%B1%D8%A7%D8%A6%D8%AD-%D8%A7%D9%84%D8%A7%D8%AA%D8%B5%D8%A7%D9%84%D8%8C/dp/B0DMFBQL5M/ref=sr_1_3,Amazon,mobiles,samsung,سامسونج,A16,
"موبايل سامسونج جالاكسي A05s، هاتف ذكي يعمل بنظام اندرويد، بشريحتين اتصال، ذاكرة RAM سعة 6 جيحا، - تخزين 128 جيجا، أسود - ضمان لمدة عام/إصدار محلي",5890,https://www.amazon.eg/%D9%85%D9%88%D8%A8%D8%A7%D9%8A%D9%84-%D8%B3%D8%A7%D9%85%D8%B3%D9%88%D9%86%D8%AC-%D8%AC%D8%A7%D9%84%D8%A7%D9%83%D8%B3%D9%8A-%D8%A7%D9%86%D8%AF%D8%B1%D9%88%D9%8A%D8%AF%D8%8C-%D8%A8%D8%B4%D8%B1%D9%8A%D8%AD%D8%AA%D9%8A%D9%86/dp/B0CP45ZGRK/ref=sr_1_6,Amazon,mobiles,samsung,سامسونج,A05S,
